5.64E-02,5.50E-02,3.93E-02,3.06E-02
5.59E-02,5.91E-02,3.44E-02,2.58E-02
5.78E-02,6.27E-02,3.82E-02,2.46E-02
5.84E-02,6.66E-02,4.31E-02,2.08E-02
6.00E-02,7.14E-02,4.86E-02,2.11E-02
6.18E-02,7.63E-02,5.21E-02,2.76E-02
6.29E-02,7.69E-02,4.65E-02,3.18E-02
6.50E-02,7.65E-02,4.73E-02,4.17E-02
6.56E-02,8.00E-02,4.96E-02,4.13E-02
6.55E-02,8.54E-02,5.50E-02,4.31E-02
6.54E-02,8.61E-02,5.01E-02,4.48E-02
6.57E-02,8.25E-02,5.58E-02,5.04E-02
6.79E-02,8.38E-02,5.42E-02,3.43E-02
6.84E-02,8.22E-02,5.31E-02,3.82E-02
6.89E-02,8.44E-02,5.38E-02,3.88E-02
6.91E-02,8.32E-02,5.11E-02,4.34E-02
6.98E-02,8.31E-02,5.14E-02,3.82E-02
7.06E-02,8.33E-02,5.33E-02,3.78E-02
7.22E-02,8.25E-02,5.04E-02,4.14E-02
7.26E-02,8.32E-02,5.25E-02,4.16E-02
7.28E-02,8.60E-02,5.47E-02,4.84E-02
7.33E-02,9.28E-02,5.74E-02,4.85E-02
7.28E-02,9.37E-02,6.03E-02,4.43E-02
7.44E-02,9.41E-02,5.86E-02,4.67E-02
7.56E-02,9.49E-02,5.59E-02,4.29E-02
7.75E-02,9.42E-02,5.12E-02,3.88E-02
7.84E-02,9.67E-02,5.61E-02,3.77E-02
7.86E-02,9.43E-02,5.31E-02,4.23E-02
7.97E-02,9.50E-02,4.82E-02,4.50E-02
7.91E-02,9.34E-02,4.27E-02,4.22E-02
8.02E-02,9.68E-02,3.67E-02,3.32E-02
8.05E-02,9.51E-02,4.78E-02,2.78E-02
7.98E-02,9.87E-02,5.52E-02,1.82E-02
8.03E-02,1.03E-01,3.97E-02,3.16E-02
8.13E-02,9.65E-02,4.49E-02,4.20E-02
8.26E-02,9.94E-02,4.18E-02,4.72E-02
8.23E-02,9.98E-02,3.54E-02,4.54E-02
8.26E-02,9.47E-02,4.08E-02,4.11E-02
8.29E-02,9.40E-02,4.45E-02,3.47E-02
8.49E-02,8.93E-02,3.79E-02,3.87E-02
8.48E-02,8.63E-02,3.95E-02,3.15E-02
8.61E-02,8.01E-02,3.99E-02,3.45E-02
8.65E-02,7.74E-02,3.53E-02,3.90E-02
8.80E-02,7.97E-02,3.15E-02,3.02E-02
8.91E-02,7.97E-02,2.92E-02,1.76E-02
8.93E-02,7.02E-02,3.12E-02,1.67E-02
9.09E-02,7.33E-02,2.94E-02,3.26E-03
9.20E-02,7.21E-02,2.82E-02,6.10E-03
9.23E-02,7.86E-02,2.00E-02,8.30E-07
9.52E-02,7.17E-02,1.87E-02,1.29E-02
9.34E-02,8.44E-02,1.17E-02,1.36E-02
9.17E-02,8.49E-02,1.74E-02,5.49E-03
9.40E-02,7.58E-02,9.24E-03,-4.59E-04
9.40E-02,7.07E-02,-3.07E-03,-8.24E-03
9.46E-02,6.65E-02,-6.12E-03,-1.10E-02
9.72E-02,6.57E-02,-2.23E-02,-3.39E-03
9.68E-02,6.26E-02,-1.97E-02,-1.41E-03
9.83E-02,5.99E-02,-2.44E-02,-1.59E-03
9.63E-02,6.11E-02,-2.08E-02,-1.59E-02
9.70E-02,5.21E-02,-4.55E-03,1.70E-03
9.65E-02,5.35E-02,-1.28E-02,-2.52E-04
9.83E-02,4.65E-02,-3.47E-02,7.40E-03
9.64E-02,4.49E-02,-3.91E-02,1.32E-02
9.80E-02,4.06E-02,-4.11E-02,2.33E-03
9.86E-02,3.27E-02,-4.54E-02,-5.22E-03
9.97E-02,2.43E-02,-3.69E-02,-1.38E-02
